"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,E-POVO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702501 .,800,169,206,166,4,545,7,21,573,227
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702502 .,800,124,225,178,1,528,4,10,542,258
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702503 .,800,118,222,188,0,528,8,21,557,243
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702504 .,800,135,219,130,3,487,7,16,510,290
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702505 .,800,115,244,136,3,498,8,23,529,271
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702506 .,800,133,208,151,0,492,14,17,523,277
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702507 .,800,110,241,129,1,481,4,4,489,311
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA CENTRAL,0702508 .,635,91,168,108,0,367,5,3,375,260
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA MATOPE,0702601 .,800,136,134,252,1,523,32,18,573,227
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA MATOPE,0702602 .,800,91,179,216,4,490,8,12,510,290
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA MATOPE,0702603 .,800,98,178,201,1,478,7,11,496,304
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA MATOPE,0702604 .,800,95,166,196,0,457,9,4,470,330
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA MATOPE,0702605 .,800,69,179,160,0,408,12,19,439,361
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA MATOPE,0702606 .,800,66,175,159,0,400,3,8,411,389
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,EPC MUNHAVA MATOPE,0702607 .,347,45,77,76,0,198,1,4,203,144
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,ESG SÃO JOSE,0702701 .,800,143,285,145,1,574,14,13,601,199
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,ESG SÃO JOSE,0702702 .,800,115,302,167,3,587,12,7,606,194
SOFALA,CIDADE DA BEIRA,MUNHAVA,MUNHAVA,ESG SÃO JOSE,0702703 .,800,132,279,134,0,545,5,35,585,215
