Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA COMUNITÁRIA 4 DE OUTUBRO,1106704 .,800,291,21,167,2,2,0,0,0,2,0,1,0,486,1,5,492,308
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA COMUNITÁRIA 4 DE OUTUBRO,1106705 .,800,257,27,163,3,0,0,1,0,4,0,1,0,456,6,12,474,326
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA COMUNITÁRIA 4 DE OUTUBRO,1106706 .,800,275,29,179,1,0,0,0,0,5,0,0,0,489,1,6,496,304
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA COMUNITÁRIA 4 DE OUTUBRO,1106707A .,400,149,16,96,0,0,0,0,0,0,1,1,0,263,3,9,275,125
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA COMUNITÁRIA 4 DE OUTUBRO,1106707B .,470,149,16,96,0,0,0,0,0,0,1,1,0,263,3,9,275,195
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106801 .,800,340,11,168,1,2,2,0,2,2,0,0,0,528,5,22,555,245
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106802 .,800,295,16,167,3,0,0,0,0,2,0,0,0,483,3,17,503,297
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106803 .,800,281,18,187,2,1,0,0,0,1,0,1,0,491,8,13,512,288
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106804 .,800,292,17,165,0,2,0,0,0,2,0,0,1,479,11,17,507,293
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106805 .,800,281,18,181,3,1,0,0,0,3,1,0,0,488,4,11,503,297
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106806 .,800,270,21,165,1,0,0,0,0,2,0,0,0,459,2,9,470,330
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106807A .,800,281,32,189,3,0,0,0,0,1,0,4,0,510,4,8,522,278
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " A ",ESCOLA PRIMÁRIA NOVA,1106808B .,595,197,20,117,1,0,0,0,1,2,0,2,1,341,1,8,350,245
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",DPCCN -RELENTO,1106901 .,800,325,11,151,2,0,1,0,0,10,1,0,1,502,7,13,522,278
MAPUTO CIDADE,MUNICIPAL KAMAXAQUENE,MUNICIPAL KAMAXAQUENE,POLANA CANICO " B ",DPCCN -RELENTO,1106902 .,800,299,14,151,0,2,1,0,0,3,0,0,2,472,9,37,518,282
