Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA COM. DA PAZ-RELENTO,1108603 .,334,122,8,53,0,0,0,0,0,0,0,0,0,183,4,4,191,143
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA COMUNITÁRIA 10 DE OUTUBRO,1108701 .,800,269,28,160,3,1,0,0,0,0,0,0,0,461,4,7,472,328
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA COMUNITÁRIA 10 DE OUTUBRO,1108702 .,800,219,18,178,1,1,0,2,0,0,0,1,0,420,4,22,446,354
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA COMUNITÁRIA 10 DE OUTUBRO,1108703 .,800,230,17,157,4,0,0,0,1,0,0,1,2,412,2,8,422,378
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA COMUNITÁRIA 10 DE OUTUBRO,1108704 .,800,229,19,149,1,2,0,1,0,2,0,0,0,403,4,5,412,388
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA COMUNITÁRIA 10 DE OUTUBRO,1108705 .,304,80,8,47,0,0,0,0,0,0,0,0,0,135,2,4,141,163
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA HULENE "B",1108301 .,800,306,33,149,1,0,0,0,0,0,1,0,0,490,11,34,535,265
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA HULENE "B",1108302 .,800,300,22,152,0,2,0,0,0,0,0,2,1,479,5,7,491,309
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA HULENE "B",1108303 .,800,287,23,156,3,0,0,0,0,0,0,1,0,470,3,18,491,309
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA HULENE "B",1108304 .,800,309,23,121,1,2,0,1,0,0,0,0,0,457,8,11,476,324
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA HULENE "B",1108305 .,800,295,18,132,2,0,0,1,0,0,0,0,0,448,4,10,462,338
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA HULENE "B",1108306 .,506,142,16,87,3,1,0,0,0,0,0,0,0,249,1,14,264,242
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108201 .,800,328,24,127,4,1,0,0,1,1,2,0,1,489,5,22,516,284
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108202 .,800,330,18,115,1,0,0,0,0,2,1,1,1,469,3,29,501,299
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108203 .,800,261,33,131,2,0,0,2,0,0,0,0,0,429,6,19,454,346
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108204 .,800,272,25,140,1,2,0,3,0,0,2,1,2,448,5,12,465,335
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108205 .,800,289,20,173,0,2,0,2,0,0,1,0,0,487,3,11,501,299
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108206 .,800,279,17,142,0,0,0,0,0,0,0,1,0,439,4,10,453,347
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108207 .,800,282,27,139,0,0,0,0,0,0,0,1,0,449,6,10,465,335
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA PRIMÁRIA UNIDADE 8,1108208 .,357,128,11,55,0,1,0,1,0,0,0,0,0,196,1,2,199,158
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108401 .,800,249,25,192,1,0,1,2,1,1,2,0,1,475,9,16,500,300
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108402 .,800,264,40,172,3,1,0,1,0,1,0,1,1,484,3,12,499,301
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108403 .,800,250,23,170,0,1,0,1,0,0,0,2,0,447,4,23,474,326
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108404 .,800,265,25,179,0,0,0,0,0,0,1,0,0,470,1,8,479,321
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108405 .,800,270,30,164,2,0,1,0,0,0,0,0,0,467,2,10,479,321
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108406 .,800,240,22,191,1,0,0,0,1,0,0,0,0,455,5,13,473,327
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108407 .,800,260,18,149,2,0,2,1,0,0,0,1,0,433,0,10,443,357
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1108408 .,800,221,17,131,0,0,0,0,0,0,3,0,0,372,7,12,391,409
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLA SECUNDÁRIA FORÇA DO POVO,1120101 .,466,106,18,97,1,0,0,0,0,0,0,0,1,223,1,3,227,239
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLINHA KANIMAMBO,1108501 .,800,310,15,157,1,1,0,1,1,1,0,0,2,489,4,18,511,289
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLINHA KANIMAMBO,1108502 .,800,275,14,178,2,0,1,1,0,1,0,0,0,472,1,6,479,321
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLINHA KANIMAMBO,1108503 .,800,299,15,156,1,2,0,0,0,1,2,0,0,476,2,6,484,316
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLINHA KANIMAMBO,1108504 .,800,248,18,154,0,0,0,0,0,0,1,0,0,421,8,10,439,361
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLINHA KANIMAMBO,1108505 .,800,252,23,151,0,1,0,1,0,0,0,0,0,428,2,3,433,367
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLINHA KANIMAMBO,1108506A .,400,124,14,79,0,0,0,0,0,0,0,0,0,217,0,4,221,179
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,HULENE " B ",ESCOLINHA KANIMAMBO,1108506B .,601,188,20,127,1,0,0,0,0,0,0,0,0,336,5,2,343,258
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,AGRO - FLORA,1109801 .,800,308,18,150,3,0,1,0,0,0,0,1,0,481,5,6,492,308
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,AGRO - FLORA,1109802A .,400,149,15,76,1,1,0,0,0,0,0,0,0,242,1,4,247,153
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,AGRO - FLORA,1109802B .,625,208,16,102,6,1,0,0,0,0,0,0,1,334,1,9,344,281
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,DIC,1109701 .,800,326,22,141,3,1,0,1,2,0,0,0,0,496,4,17,517,283
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,DIC,1109702 .,800,311,28,177,1,0,1,0,0,0,0,0,0,518,7,9,534,266
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,DIC,1109703 .,800,302,25,153,1,0,0,1,0,0,1,1,0,484,4,10,498,302
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,DIC,1109704 .,800,299,34,181,4,1,0,0,0,0,1,0,0,520,3,12,535,265
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,DIC,1109705 .,800,278,40,184,3,3,0,0,0,0,0,0,0,508,3,13,524,276
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,DIC,1109706 .,389,134,11,87,3,1,0,0,0,0,0,1,0,237,2,1,240,149
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109501 .,800,363,26,146,1,0,0,0,0,0,0,1,0,537,4,19,560,240
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109502 .,800,258,34,168,0,0,0,0,0,0,0,0,1,461,2,15,478,322
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109503 .,800,288,35,155,0,1,0,0,0,0,0,0,1,480,4,16,500,300
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109504 .,800,298,25,141,1,0,0,1,0,0,0,1,0,467,3,7,477,323
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109505 .,800,305,20,149,1,0,0,1,0,0,0,2,0,478,5,9,492,308
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109506 .,800,267,34,170,3,1,1,1,0,0,0,0,1,478,4,6,488,312
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109507 .,800,265,25,170,5,1,0,0,0,1,0,0,1,468,6,6,480,320
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1109508 .,609,209,18,114,2,0,0,0,0,1,1,0,0,345,1,8,354,255
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA P. DE LAULANE,1120201 .,469,155,18,71,1,1,0,0,0,0,0,0,1,247,1,6,254,215
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA PRIMÁRIA 10 DE NOVEMBRO,1109601 .,800,320,33,142,2,1,0,0,0,1,0,2,0,501,3,9,513,287
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA PRIMÁRIA 10 DE NOVEMBRO,1109602 .,800,319,22,147,3,0,0,0,0,0,0,0,0,491,6,14,511,289
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA PRIMÁRIA 10 DE NOVEMBRO,1109603 .,800,304,30,161,1,1,0,0,0,0,0,1,0,498,4,7,509,291
MAPUTO CIDADE,MUNICIPAL KAMAVOTA,MUNICIPAL KAMAVOTA,LAULANE,ESCOLA PRIMÁRIA 10 DE NOVEMBRO,1109604 .,800,280,25,167,7,2,0,0,0,1,1,0,0,483,4,8,495,305
