"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,CAD,MAMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,ESG MOCUBA,0425307 .,800,226,10,211,6,2,455,5,11,471,329
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,ESG MOCUBA,0425308 .,800,227,13,177,4,0,421,4,19,444,356
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,ESG MOCUBA,0425309 .,565,129,8,123,3,0,263,6,3,272,293
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425701 .,800,243,6,201,6,1,457,17,19,493,307
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425702 .,800,177,11,206,1,2,397,12,13,422,378
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425703 .,800,189,11,193,3,1,397,4,15,416,384
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425704 .,800,188,10,149,2,0,349,9,44,402,398
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425705 .,800,170,10,160,3,5,348,18,13,379,421
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425706 .,800,137,11,205,2,0,355,8,7,370,430
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425707 .,800,128,11,193,1,0,333,10,1,344,456
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425708 .,800,103,7,210,3,0,323,9,7,339,461
ZAMBEZIA,MOCUBA,MOCUBA SEDE,CIDADE DE MOCUBA,INSTITUTO AGRÁRIO DE MOCUBA,0425709 .,305,39,2,71,0,0,112,4,1,117,188
