Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC -NAPACALA,0315503 .,800,485,12,183,4,684,11,11,706,94
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC -NAPACALA,0315504 .,800,182,7,181,5,375,20,13,408,392
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC -NAPACALA,0315505A .,405,113,9,92,2,216,8,1,225,180
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,EPC -NAPACALA,0315505B .,395,97,8,70,4,179,3,5,187,208
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,MOCONE,0315404 .,800,510,13,179,18,720,33,25,778,22
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,MOCONE,0315405 .,493,339,8,100,14,461,13,9,483,10
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,NOVA CUAMBA,0315601 .,800,208,15,227,12,462,30,19,511,289
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,NOVA CUAMBA,0315602 .,800,161,11,207,8,387,29,15,431,369
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,NOVA CUAMBA,0315603 .,800,189,14,207,7,417,24,12,453,347
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,NOVA CUAMBA,0315604 .,800,163,7,171,9,350,15,23,388,412
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,NOVA CUAMBA,0315605A .,540,93,6,125,4,228,15,10,253,287
NAMPULA,MONAPO,MONAPO-SEDE,VILA DE MONAPO,NOVA CUAMBA,0315605B .,260,96,7,61,1,165,4,75,244,16
