"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-05 .,800,17,83,325,425,4,10,439,361
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-06 .,800,13,74,255,342,5,5,352,448
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica,060273-07 .,410,6,25,114,145,0,2,147,263
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Manica (B),060280-01 .,800,14,65,266,345,5,3,353,447
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-01 .,800,13,119,379,511,13,22,546,254
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-02 .,800,15,109,335,459,10,9,478,322
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-03 .,800,23,116,325,464,11,9,484,316
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-04 .,800,9,113,345,467,5,9,481,319
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-05 .,800,21,120,306,447,9,14,470,330
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-06 .,800,15,123,256,394,3,4,401,399
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-07 .,800,10,73,221,304,14,5,323,477
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba,060279-08 .,586,12,68,139,219,3,11,233,353
Manica,MANICA,MANICA (Sede),MANICA (Sede),EP1e 2 Vumba (B),060277-01 .,800,15,114,244,373,8,3,384,416
