Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,PAHUMO,MAMO,AMAJPS,PLDS,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305007 .,800,126,16,325,5,0,2,1,0,475,4,6,485,315
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NAMICOPO,0305008 .,790,116,13,326,6,0,0,0,2,463,14,5,482,308
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NIARRO,0305201 .,800,104,65,278,7,0,0,2,1,457,31,12,500,300
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NIARRO,0305202 .,800,91,58,176,2,0,0,2,1,330,24,23,377,423
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NIARRO,0305203 .,800,80,35,200,3,0,0,0,1,319,9,7,335,465
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NIARRO,0305204A .,470,36,9,102,1,0,0,1,1,150,6,6,162,308
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EP1 - NIARRO,0305204B .,470,45,16,90,1,0,0,0,2,154,2,5,161,309
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0305101 .,800,176,23,261,4,0,1,1,3,469,14,16,499,301
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0305102 .,800,225,45,274,6,0,1,1,3,555,10,9,574,226
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0305103 .,800,148,29,247,14,1,2,0,6,447,6,5,458,342
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0305104 .,800,167,28,288,11,0,0,0,1,495,16,6,517,283
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0305105 .,800,159,28,270,7,1,0,0,2,467,7,6,480,320
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0305106 .,800,185,18,248,8,0,2,1,2,464,8,4,476,324
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0305107 .,800,146,29,289,7,0,2,2,0,475,9,7,491,309
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,EPC- BARRAGEM,0334701 .,318,67,10,110,2,0,2,0,0,191,1,1,193,125
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0304901 .,800,143,12,369,9,0,1,1,5,540,15,4,559,241
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0304902 .,800,115,15,338,7,0,0,0,2,477,11,13,501,299
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0304903 .,800,120,23,274,8,0,1,1,2,429,4,12,445,355
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0304904 .,800,146,20,300,10,1,0,0,1,478,6,15,499,301
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0304905 .,800,138,21,313,4,0,0,1,3,480,6,5,491,309
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0304906 .,800,130,20,261,9,2,0,0,1,423,13,9,445,355
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0304907 .,800,124,15,253,5,0,2,1,0,400,5,30,435,365
NAMPULA,NAMPULA,URBANO DE NAPIPINE,CARRUPEIA,IPET          2,0337001 .,615,90,10,223,8,0,2,1,1,335,5,3,343,272
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EP1 - NAHENE ,0304701 .,800,97,42,211,6,0,1,1,0,358,14,10,382,418
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EP1 - NAHENE ,0304702 .,800,55,28,195,3,1,0,0,2,284,11,7,302,498
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EP1 - NAHENE ,0304703 .,800,40,38,217,4,0,0,1,1,301,8,3,312,488
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EP1 - NAHENE ,0304704A .,465,35,9,111,1,0,0,1,0,157,3,5,165,300
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EP1 - NAHENE ,0304704B .,464,24,6,109,2,0,0,1,0,142,2,13,157,307
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304601 .,800,281,30,233,5,0,1,1,5,556,5,9,570,230
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304602 .,800,237,28,241,4,1,1,1,4,517,7,7,531,269
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304603 .,800,281,24,234,5,0,1,1,2,548,9,8,565,235
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304604 .,800,251,18,222,5,0,0,1,2,499,3,9,511,289
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304605 .,800,256,26,218,5,0,0,1,4,510,5,15,530,270
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304606 .,800,248,20,242,9,0,0,0,2,521,6,8,535,265
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304607A .,548,150,23,180,2,0,0,0,4,359,1,3,363,185
NAMPULA,NAMPULA,URBANO DE NAPIPINE,NAPIPINE,EPC - NAPIPINE,0304608 .,548,152,14,187,2,0,1,1,5,362,3,7,372,176
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAMIGONHA,0306101 .,800,74,26,255,17,1,2,0,3,378,22,24,424,376
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAMIGONHA,0306102 .,800,58,31,189,11,1,0,0,2,292,20,14,326,474
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAMIGONHA,0306103 .,800,103,19,138,5,1,2,0,0,268,18,8,294,506
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAMIGONHA,0306104 .,800,96,16,138,5,0,0,0,1,256,7,4,267,533
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAMIGONHA,0306105 .,800,125,6,155,2,1,1,1,0,291,19,6,316,484
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAMIGONHA,0306106 .,800,104,8,127,1,0,2,0,1,243,5,4,252,548
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAMIGONHA,0306107 .,622,47,10,98,3,0,0,0,0,158,3,3,164,458
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAPUEIA,0306301 .,800,148,33,222,15,1,2,0,2,423,18,7,448,352
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAPUEIA,0306302 .,800,69,24,179,10,0,2,1,1,286,10,9,305,495
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAPUEIA,0306303 .,800,58,18,138,8,1,0,0,0,223,4,5,232,568
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAPUEIA,0306304A .,445,35,5,79,3,0,0,0,0,122,8,2,132,313
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EP1 - NAPUEIA,0306304B .,445,47,7,55,3,1,0,0,0,113,3,1,117,328
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - MARRERE,0306201 .,800,135,49,255,4,4,1,0,0,448,11,14,473,327
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - MARRERE,0306202 .,800,99,33,208,3,0,4,0,2,349,17,49,415,385
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - MARRERE,0306203 .,800,119,48,225,7,0,1,0,4,404,7,8,419,381
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - MARRERE,0306204 .,800,97,42,261,2,0,0,1,1,404,10,10,424,376
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - MARRERE,0306205 .,800,128,27,231,4,2,0,3,3,398,1,0,399,401
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - MARRERE,0306206 .,800,117,30,225,3,0,0,0,2,377,14,8,399,401
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - MARRERE,0306207 .,531,81,19,168,3,0,0,0,0,271,4,4,279,252
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - NAMATHERA                           NOVO,0306401 .,800,83,39,266,7,3,11,1,17,427,15,17,459,341
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - NAMATHERA                           NOVO,0306402 .,800,47,53,196,8,1,3,1,9,318,11,14,343,457
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - NAMATHERA                           NOVO,0306403 .,800,79,35,190,1,0,3,0,2,310,15,2,327,473
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - NAMATHERA                           NOVO,0306404A .,453,38,11,103,3,0,1,0,2,158,4,4,166,287
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MARRERE,EPC - NAMATHERA                           NOVO,0306404B .,452,33,8,133,1,0,1,0,1,177,2,3,182,270
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - ACORDOS DE LUSAKA,0305801 .,800,88,41,253,8,0,1,0,7,398,20,21,439,361
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - ACORDOS DE LUSAKA,0305802 .,800,88,30,188,5,1,1,0,1,314,6,20,340,460
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - ACORDOS DE LUSAKA,0305803 .,800,69,16,211,3,1,0,0,1,301,10,3,314,486
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - ACORDOS DE LUSAKA,0305804 .,800,57,22,190,2,1,1,3,5,281,9,9,299,501
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - ACORDOS DE LUSAKA,0305805 .,651,69,13,179,1,0,0,0,2,264,9,4,277,374
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - MURRAPANIUA,0305601 .,800,192,68,300,5,1,0,1,8,575,11,10,596,204
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - MURRAPANIUA,0305602 .,800,154,47,287,2,1,0,0,3,494,11,9,514,286
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - MURRAPANIUA,0305603 .,800,146,47,332,3,0,0,2,3,533,8,33,574,226
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - MURRAPANIUA,0305604 .,800,149,46,265,4,0,0,0,8,472,14,11,497,303
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - MURRAPANIUA,0305605 .,800,143,46,316,2,0,0,0,3,510,12,11,533,267
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - MURRAPANIUA,0305606 .,800,174,38,291,4,0,0,0,5,512,12,9,533,267
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EP1 - MURRAPANIUA,0305607 .,642,108,26,264,1,0,1,0,6,406,8,4,418,224
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306001 .,800,133,50,287,4,0,0,0,2,476,8,16,500,300
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306002 .,800,125,40,294,5,2,1,2,7,476,9,7,492,308
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306003 .,800,121,30,281,4,0,0,0,3,439,19,2,460,340
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306004 .,800,101,34,280,2,1,0,0,3,421,19,10,450,350
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306005 .,800,124,31,311,1,0,1,0,3,471,15,7,493,307
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306006 .,800,107,26,266,1,0,1,1,1,403,10,4,417,383
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306007A .,487,59,24,181,2,1,0,0,1,268,6,1,275,212
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC - MURRAPANIUA - 2                    NOVO,0306007B .,487,69,11,184,2,0,1,0,2,269,12,0,281,206
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC- MUTHIMACANHA,0305901 .,800,102,47,334,3,2,0,0,3,491,9,16,516,284
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC- MUTHIMACANHA,0305902 .,800,99,27,305,4,1,1,1,1,439,7,7,453,347
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC- MUTHIMACANHA,0305903 .,800,82,31,307,5,1,0,1,3,430,10,9,449,351
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC- MUTHIMACANHA,0305904 .,800,76,35,260,6,1,0,0,2,380,5,9,394,406
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC- MUTHIMACANHA,0305905 .,739,85,27,266,7,0,1,0,1,387,10,4,401,338
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC-1 DE JUNHO         NOVO,0305701 .,800,146,59,344,12,0,1,1,1,564,13,12,589,211
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC-1 DE JUNHO         NOVO,0305702 .,800,133,42,339,5,0,0,2,4,525,21,16,562,238
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC-1 DE JUNHO         NOVO,0305703 .,800,122,40,352,4,1,1,0,4,524,5,6,535,265
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC-1 DE JUNHO         NOVO,0305704 .,800,128,40,257,5,0,0,0,2,432,7,23,462,338
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC-1 DE JUNHO         NOVO,0305705 .,800,119,39,322,2,0,0,1,4,487,9,7,503,297
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC-1 DE JUNHO         NOVO,0305706A .,544,61,25,216,3,0,0,1,2,308,9,4,321,223
NAMPULA,NAMPULA,URBANO DE NATIKIRI,MURRAPANIUA,EPC-1 DE JUNHO         NOVO,0305707 .,543,77,19,199,3,0,0,0,1,299,5,2,306,237
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,EP1 - PEDREIRA,0305301 .,800,106,35,322,8,1,2,0,4,478,5,9,492,308
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,EP1 - PEDREIRA,0305302 .,800,112,37,290,4,0,0,0,4,447,4,6,457,343
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,EP1 - PEDREIRA,0305303 .,800,112,36,298,8,3,1,1,3,462,11,18,491,309
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,EP1 - PEDREIRA,0305304 .,800,105,25,252,5,2,0,0,3,392,14,7,413,387
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,EP1 - PEDREIRA,0305305 .,800,108,27,301,3,1,0,0,0,440,5,3,448,352
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,EP1 - PEDREIRA,0305306 .,800,130,22,244,2,0,0,0,1,399,12,9,420,380
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,EP1 - PEDREIRA,0305307 .,744,102,21,251,4,0,1,0,3,382,10,3,395,349
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305401 .,800,200,39,283,7,0,1,2,7,539,8,5,552,248
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305402 .,800,173,42,302,6,0,1,1,3,528,8,8,544,256
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305403 .,800,190,55,258,4,2,0,1,1,511,6,14,531,269
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305404 .,800,171,47,202,4,0,0,1,2,427,1,4,432,368
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305405 .,800,149,27,244,4,0,0,1,3,428,9,5,442,358
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305406 .,800,177,42,278,4,1,0,1,7,510,9,4,523,277
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305407 .,800,180,26,257,5,1,0,0,3,472,7,8,487,313
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECUNDÁRIA - TEACANE,0305408 .,509,84,21,183,0,0,0,0,2,290,6,5,301,208
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECÚNDARIA DE NATIKIRI         NOVO,0305501 .,800,102,25,276,10,1,3,1,8,426,11,16,453,347
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECÚNDARIA DE NATIKIRI         NOVO,0305502 .,800,96,41,286,8,0,1,0,5,437,11,10,458,342
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECÚNDARIA DE NATIKIRI         NOVO,0305503 .,800,97,27,258,4,1,0,1,5,393,8,1,402,398
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECÚNDARIA DE NATIKIRI         NOVO,0305504 .,800,133,26,196,0,0,0,0,3,358,9,9,376,424
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECÚNDARIA DE NATIKIRI         NOVO,0305505 .,800,193,14,187,3,0,1,2,3,403,11,9,423,377
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECÚNDARIA DE NATIKIRI         NOVO,0305506 .,800,192,15,184,2,0,0,0,2,395,10,1,406,394
NAMPULA,NAMPULA,URBANO DE NATIKIRI,NATIKIRI,ESCOLA SECÚNDARIA DE NATIKIRI         NOVO,0305507 .,772,105,19,236,2,1,1,0,3,367,5,2,374,398
