Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,AMUSI,PAHUMO,MAMO,AMAJPS,PLDS,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,EP1 - SAUA- SAUA,0303701 .,800,94,35,260,3,0,0,1,0,393,14,20,427,373
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,EP1 - SAUA- SAUA,0303702 .,800,69,40,201,11,0,0,0,0,321,17,5,343,457
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,EP1 - SAUA- SAUA,0303703 .,436,30,18,141,4,0,1,0,0,194,10,2,206,230
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,ESCOLA SEC. MARCELINO DOS SANTOS   NOVO,0304101 .,800,120,46,240,11,0,2,1,0,420,15,13,448,352
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,ESCOLA SEC. MARCELINO DOS SANTOS   NOVO,0304102 .,800,72,44,280,6,0,1,1,1,405,11,6,422,378
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,ESCOLA SEC. MARCELINO DOS SANTOS   NOVO,0304103 .,800,89,38,284,11,0,2,0,1,425,14,12,451,349
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,ESCOLA SEC. MARCELINO DOS SANTOS   NOVO,0304104 .,800,69,29,251,8,0,0,0,0,357,22,13,392,408
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,ESCOLA SEC. MARCELINO DOS SANTOS   NOVO,0304105 .,800,68,23,256,7,1,1,0,1,357,8,6,371,429
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,ESCOLA SEC. MARCELINO DOS SANTOS   NOVO,0304106 .,800,75,31,267,5,0,0,2,1,381,17,17,415,385
NAMPULA,NAMPULA,URBANO DE NAMICOPO,NAMICOPO,ESCOLA SEC. MARCELINO DOS SANTOS   NOVO,0304107 .,742,54,27,266,2,0,0,0,1,350,14,10,374,368
