"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,RD,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-01 .,800,13,96,333,5,447,11,9,467,333
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-02 .,800,13,79,338,2,432,17,28,477,323
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-03 .,800,18,120,342,2,482,9,10,501,299
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-04 .,800,23,141,245,1,410,7,7,424,376
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-05 .,800,19,151,176,0,346,4,19,369,431
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-06 .,800,14,88,179,2,283,6,45,334,466
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro,070039-07 .,650,16,95,146,3,260,5,3,268,382
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-01 .,800,24,122,302,2,450,14,23,487,313
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-02 .,800,19,136,240,2,397,8,8,413,387
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-03 .,800,27,137,216,3,383,4,16,403,397
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-04A .,400,9,54,128,0,191,0,6,197,203
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  3 de Janeiro (B),070041-04B .,510,15,97,123,0,235,0,2,237,273
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano,070045-01 .,800,19,136,298,3,456,9,8,473,327
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano,070045-02 .,800,28,114,257,3,402,4,11,417,383
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano,070045-03 .,800,20,110,234,4,368,12,17,397,403
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano,070045-04 .,800,24,122,242,2,390,8,8,406,394
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano,070045-05 .,800,24,131,180,3,338,8,2,348,452
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano,070045-06 .,800,20,117,152,0,289,7,6,302,498
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano,070045-07 .,511,12,79,93,1,185,6,4,195,316
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano (B),070048-01 .,800,18,117,177,0,312,4,5,321,479
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano (B),070048-02A .,400,5,49,71,0,125,1,15,141,259
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC  Joaquim Chissano (B),070048-02B .,599,14,81,108,0,203,4,4,211,388
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto,070042-01 .,800,11,101,301,4,417,13,15,445,355
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto,070042-02 .,800,7,100,262,4,373,15,8,396,404
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto,070042-03 .,800,18,104,261,0,383,10,15,408,392
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto,070042-04 .,800,9,110,237,4,360,13,11,384,416
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto,070042-05 .,800,6,92,198,3,299,11,8,318,482
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto,070042-06A .,400,7,51,79,1,138,1,10,149,251
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto,070042-06B .,645,5,82,115,1,203,3,6,212,433
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto  (B),070040-01 .,800,7,138,182,1,328,6,5,339,461
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Aeroporto  (B),070040-02 .,584,9,103,100,4,216,1,7,224,360
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Ngungunhana,070044-01 .,800,10,111,288,1,410,14,20,444,356
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Ngungunhana,070044-02 .,800,13,98,265,6,382,10,18,410,390
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Ngungunhana,070044-03 .,800,15,110,329,2,456,6,11,473,327
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Ngungunhana,070044-04 .,800,11,106,267,7,391,8,14,413,387
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Ngungunhana,070044-05 .,800,17,117,242,4,380,7,13,400,400
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Ngungunhana,070044-06 .,800,15,110,218,1,344,7,13,364,436
Tete,CIDADE DE TETE,CIDADE DE TETE,Chingodzi,EPC Ngungunhana,070044-07A .,400,7,44,107,2,160,5,9,174,226
