"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,MDM,RENAMO,FRELIMO,RD,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué,070073-03 .,800,8,111,281,3,403,6,7,416,384
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué,070073-04 .,800,9,103,258,3,373,7,14,394,406
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué,070073-05 .,800,13,77,215,3,308,9,6,323,477
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué,070073-06 .,800,2,81,168,2,253,6,3,262,538
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué,070073-07 .,492,3,63,92,1,159,8,4,171,321
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué (B),070079-01 .,800,15,120,223,4,362,8,19,389,411
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué (B),070079-02A .,400,7,75,91,3,176,1,6,183,217
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,EPC de Mpádué (B),070079-02B .,467,8,74,115,0,197,6,5,208,259
Tete,CIDADE DE TETE,CIDADE DE TETE,Mpáduè,Unidade Nhakadecha,070076-01 .,704,6,37,244,4,291,31,14,336,368
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A,070034-01 .,800,7,100,302,9,418,14,12,444,356
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A,070034-02 .,800,8,80,277,1,366,9,15,390,410
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A,070034-03 .,800,7,90,290,1,388,8,12,408,392
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A,070034-04 .,800,17,106,244,4,371,4,9,384,416
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A,070034-05 .,800,18,102,215,3,338,11,15,364,436
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A,070034-06 .,800,15,98,179,1,293,4,10,307,493
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A,070034-07 .,691,10,78,122,0,210,4,7,221,470
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A (B),070037-01 .,800,14,96,202,2,314,5,6,325,475
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC  de Canongola A (B),070037-02 .,639,7,50,128,3,188,1,18,207,432
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B,070035-01 .,800,6,72,280,2,360,14,10,384,416
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B,070035-02 .,800,15,91,273,6,385,5,9,399,401
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B,070035-03 .,800,6,72,317,1,396,1,3,400,400
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B,070035-04 .,800,13,96,272,3,384,10,13,407,393
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B,070035-05 .,800,10,116,215,4,345,6,8,359,441
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B,070035-06 .,800,8,90,212,5,315,12,9,336,464
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B,070035-07 .,541,7,68,135,3,213,0,3,216,325
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B (B),070038-01 .,800,10,102,212,5,329,9,5,343,457
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,EPC de Canongola B (B),070038-02 .,629,6,82,148,1,237,2,3,242,387
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-01 .,800,9,92,341,1,443,18,12,473,327
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-02 .,800,7,85,285,1,378,11,23,412,388
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-03 .,800,15,91,267,2,375,16,13,404,396
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-04 .,800,8,88,266,3,365,9,15,389,411
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-05 .,800,10,92,226,1,329,11,11,351,449
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-06 .,800,3,61,206,5,275,7,4,286,514
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-07 .,800,11,46,199,4,260,5,6,271,529
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel,070033-08 .,548,4,41,124,0,169,10,4,183,365
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel (B),070036-01 .,800,8,140,191,0,339,8,17,364,436
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel (B),070036-02A .,400,5,74,83,2,164,0,3,167,233
Tete,CIDADE DE TETE,CIDADE DE TETE,Samora Machel,Unidade  Graça Machel (B),070036-02B .,465,8,77,116,0,201,0,3,204,261
