Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,PAHUMO,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
INHAMBANE,MAXIXE,MAXIXE,NHABANDA,EP 1º-2º GRAUS DE MANDIANE,0805803 .,235,110,3,10,0,123,4,8,135,100
INHAMBANE,MAXIXE,MAXIXE,NHABANDA,EP 1º-2º GRAUS DE MÔNGUÉ,0813804 .,741,242,40,24,40,346,14,33,393,348
INHAMBANE,MAXIXE,MAXIXE,NHABANDA,EP 1º-2º GRAUS DE NHABANDA,0813801 .,800,259,14,43,40,356,16,40,412,388
INHAMBANE,MAXIXE,MAXIXE,NHABANDA,EP 1º-2º GRAUS DE NHABANDA,0813802 .,379,109,6,20,3,138,4,7,149,230
INHAMBANE,MAXIXE,MAXIXE,NHABANDA,EP 1º-2º GRAUS DE NHAMAXAXA,0805801 .,800,306,11,35,3,355,17,19,391,409
INHAMBANE,MAXIXE,MAXIXE,NHABANDA,EP 1º-2º GRAUS DE NHAMAXAXA,0805802 .,582,168,9,21,1,199,4,11,214,368
INHAMBANE,MAXIXE,MAXIXE,NHAGUIVICA,EP 1º-2º GRAUS AGOSTINHO NETO,0807401 .,800,270,19,34,2,325,11,34,370,430
INHAMBANE,MAXIXE,MAXIXE,NHAGUIVICA,EP 1º-2º GRAUS AGOSTINHO NETO,0807402 .,800,253,13,38,5,309,9,12,330,470
INHAMBANE,MAXIXE,MAXIXE,NHAGUIVICA,EP 1º-2º GRAUS AGOSTINHO NETO,0807403 .,800,215,17,36,1,269,4,5,278,522
INHAMBANE,MAXIXE,MAXIXE,NHAGUIVICA,EP 1º-2º GRAUS AGOSTINHO NETO,0807404 .,353,108,8,14,0,130,2,3,135,218
