"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,PJDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EPC  MATCHUME,1014304 .,510,219,8,39,2,268,7,21,296,214
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EPC MABANJA,1014201 .,800,447,15,51,1,514,14,20,548,252
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EPC MABANJA,1014202A .,400,205,5,28,0,238,3,4,245,155
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,EPC MABANJA,1014202B .,488,214,11,30,0,255,2,6,263,225
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,FICHE J,1014101 .,800,333,20,144,3,500,6,13,519,281
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,FICHE J,1014102 .,800,284,21,146,3,454,3,17,474,326
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,FICHE J,1014103A .,400,142,17,61,1,221,4,1,226,174
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,FICHE J,1014103B .,500,168,6,78,2,254,3,4,261,239
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,SALAS ANEXAS DA EPC TCHONISSA (CHIPAPA),1014502 .,418,124,5,31,3,163,2,13,178,240
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,UNIVERSIDADE UNITIVA,1014801 .,800,237,26,150,1,414,10,15,439,361
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,UNIVERSIDADE UNITIVA,1014802 .,800,286,35,140,3,464,11,12,487,313
MAPUTO PROVÍNCIA,BOANE,BOANE-SEDE,GUEGUEGUE,UNIVERSIDADE UNITIVA,1014803 .,597,218,34,86,5,343,7,8,358,239
