Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,JPC,CAD,E-POVO,UE,PPPM,PVM,PASOMO,SCM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,NSALENE,ESCOLA PRIMÁRIA UNIDADE 2,1113204 .,780,208,24,172,0,0,1,1,0,0,1,0,0,407,3,9,419,361
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIM. COMU. INGRID CHAWNER,1117001 .,800,303,20,197,0,1,1,0,0,0,0,9,0,531,3,9,543,257
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIM. COMU. INGRID CHAWNER,1117002 .,800,268,25,192,1,1,1,1,0,0,0,3,1,493,5,11,509,291
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIM. COMU. INGRID CHAWNER,1117003 .,800,274,34,200,5,0,0,0,0,0,1,5,0,519,3,10,532,268
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIM. COMU. INGRID CHAWNER,1117004 .,328,120,11,69,0,0,0,0,0,0,0,1,0,201,1,3,205,123
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA DE ZIMPETO,1116701 .,800,298,14,156,3,0,1,0,1,0,0,21,2,496,9,16,521,279
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA DE ZIMPETO,1116702 .,800,298,22,124,1,0,0,0,0,0,1,27,1,474,5,9,488,312
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA DE ZIMPETO,1116703 .,800,263,21,162,4,0,0,2,0,0,1,17,0,470,6,3,479,321
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA DE ZIMPETO,1116704 .,634,188,17,136,3,0,0,0,0,0,0,22,0,366,2,6,374,260
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA WIRIAMO,1116801 .,800,262,14,193,2,0,0,0,0,0,0,1,0,472,10,17,499,301
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA WIRIAMO,1116802 .,800,240,23,167,3,0,0,0,1,0,0,1,0,435,3,7,445,355
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA WIRIAMO,1116803 .,800,203,26,173,2,0,0,0,0,1,0,1,0,406,3,8,417,383
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA WIRIAMO,1116804 .,800,206,21,181,2,0,1,0,0,0,0,2,0,413,2,9,424,376
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA WIRIAMO,1116805 .,800,213,28,148,4,0,0,0,1,0,0,0,0,394,4,13,411,389
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA PRIMÁRIA WIRIAMO,1116806 .,576,157,20,97,2,0,0,0,0,0,0,3,2,281,6,4,291,285
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA SECUNDÁRIA KISS MAVOTA,1117101 .,800,325,15,187,3,0,2,0,0,0,0,5,0,537,2,10,549,251
MAPUTO CIDADE,MUNICIPAL KAMUBUKUANE,MUNICIPAL KAMUBUKUANE,ZIMPETO,ESCOLA SECUNDÁRIA KISS MAVOTA,1117102 .,800,277,25,196,0,1,1,0,1,1,0,12,0,514,3,18,535,265
