"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,CAD,PJDM,E-POVO,PVM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'ZONA VERDE, Q. 5'",1010603 .,800,192,26,231,0,2,1,0,0,452,1,18,471,329
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'ZONA VERDE, Q. 5'",1010604 .,800,198,18,233,0,0,0,0,3,452,7,8,467,333
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'ZONA VERDE, Q. 5'",1010605A .,400,105,11,92,0,0,0,0,0,208,2,2,212,188
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,"'ZONA VERDE, Q. 5'",1010605B .,442,121,3,109,0,0,0,0,0,233,2,7,242,200
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,CENTRO PILOTO,1010001 .,800,272,15,213,1,0,1,0,0,502,5,25,532,268
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,CENTRO PILOTO,1010002 .,800,223,14,228,2,2,0,1,1,471,1,15,487,313
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,CENTRO PILOTO,1010003 .,800,245,20,200,3,0,1,0,0,469,5,22,496,304
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,CENTRO PILOTO,1010004 .,800,209,16,172,2,1,0,0,2,402,10,20,432,368
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,CENTRO PILOTO,1010005 .,206,60,0,41,0,0,0,0,0,101,0,2,103,103
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,COLÉGIO EMMANUEL,1012401 .,800,255,15,189,1,0,1,0,1,462,3,18,483,317
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,COLÉGIO EMMANUEL,1012402 .,800,211,9,202,1,1,0,2,0,426,2,5,433,367
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,COLÉGIO EMMANUEL,1012403 .,800,168,19,198,0,0,1,0,0,386,2,13,401,399
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,COLÉGIO EMMANUEL,1012404 .,800,167,9,218,1,0,1,0,0,396,3,17,416,384
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,COLÉGIO EMMANUEL,1012405 .,800,194,19,194,0,0,1,0,0,408,4,5,417,383
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,COLÉGIO EMMANUEL,1012406A .,400,95,6,105,0,0,0,0,1,207,0,4,211,189
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,COLÉGIO EMMANUEL,1012406B .,579,111,14,137,0,0,1,0,0,263,2,8,273,306
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. C. DA IGREJA ASSEMBLEIA DE DEUS,1012301 .,800,205,19,200,1,0,0,0,0,425,7,19,451,349
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. C. DA IGREJA ASSEMBLEIA DE DEUS,1012302 .,800,198,18,193,0,1,0,0,0,410,9,11,430,370
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. C. DA IGREJA ASSEMBLEIA DE DEUS,1012303 .,800,199,15,188,1,0,0,0,0,403,3,13,419,381
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. C. DA IGREJA ASSEMBLEIA DE DEUS,1012304 .,800,189,22,240,0,1,0,0,1,453,10,12,475,325
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. C. DA IGREJA ASSEMBLEIA DE DEUS,1012305A .,400,88,8,104,1,1,0,0,0,202,0,1,203,197
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. C. DA IGREJA ASSEMBLEIA DE DEUS,1012305B .,512,122,10,123,1,0,0,0,0,256,0,5,261,251
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011601 .,800,239,16,262,0,0,1,1,1,520,5,6,531,269
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011602 .,800,226,17,229,1,0,0,0,3,476,1,8,485,315
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011603 .,800,193,23,229,0,0,4,1,0,450,7,8,465,335
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011604 .,800,200,20,192,3,0,0,1,1,417,4,13,434,366
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011605 .,800,191,15,210,2,0,0,0,0,418,2,4,424,376
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011606 .,800,228,21,230,0,0,1,0,0,480,0,6,486,314
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011607 .,800,184,18,244,1,1,2,0,0,450,2,8,460,340
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1011608 .,614,152,6,154,1,0,0,0,0,313,2,8,323,291
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. BONIFÁCIO GRUVETA MASSAMBA,1028401 .,450,95,12,116,0,0,0,0,0,223,1,8,232,218
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. NOSSA SENHORA DO LIVRAMENTO,1010301 .,800,280,20,207,0,0,1,0,3,511,2,12,525,275
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. NOSSA SENHORA DO LIVRAMENTO,1010302 .,800,238,15,240,1,0,1,0,0,495,6,13,514,286
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. NOSSA SENHORA DO LIVRAMENTO,1010303 .,800,221,25,236,0,0,0,0,0,482,1,6,489,311
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. NOSSA SENHORA DO LIVRAMENTO,1010304 .,800,244,19,228,0,0,1,0,0,492,4,10,506,294
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. NOSSA SENHORA DO LIVRAMENTO,1010305 .,800,245,17,219,1,0,2,0,1,485,5,10,500,300
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,E. S. NOSSA SENHORA DO LIVRAMENTO,1010306 .,636,154,8,163,0,0,2,0,0,327,2,11,340,296
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1012201 .,800,215,11,193,0,0,0,0,1,420,4,18,442,358
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1012202 .,800,183,12,200,0,0,0,0,0,395,2,17,414,386
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1012203 .,800,177,20,173,0,1,0,0,1,372,2,19,393,407
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1012204 .,800,154,14,157,0,0,2,0,0,327,3,9,339,461
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1012205 .,800,196,12,169,0,0,1,0,0,378,4,8,390,410
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1012206 .,800,201,16,176,0,0,2,0,0,395,0,8,403,397
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1012207 .,669,163,18,141,0,0,0,0,0,322,3,2,327,342
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1028301 .,800,185,15,174,1,1,0,0,0,376,3,8,387,413
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EP1 INTACA,1028302 .,202,38,1,36,0,0,1,0,0,76,0,1,77,125
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 19 DE OUTUBRO,1009601 .,800,307,17,205,0,2,1,1,1,534,7,9,550,250
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 19 DE OUTUBRO,1009602 .,800,269,21,217,1,0,1,0,1,510,2,10,522,278
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 19 DE OUTUBRO,1009603 .,800,271,18,178,0,0,1,0,0,468,5,19,492,308
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 19 DE OUTUBRO,1009604 .,402,115,9,122,0,0,0,0,0,246,3,5,254,148
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011801 .,800,233,23,202,0,1,0,0,0,459,4,17,480,320
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011802 .,800,234,18,227,2,0,2,0,2,485,2,13,500,300
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011803 .,800,225,20,208,2,1,0,0,0,456,6,13,475,325
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011804 .,800,215,24,206,0,0,1,1,0,447,2,22,471,329
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011805 .,800,226,8,220,0,0,0,0,1,455,4,8,467,333
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011806 .,800,223,18,193,0,0,3,0,1,438,0,12,450,350
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011807A .,400,120,10,89,0,1,0,0,0,220,0,1,221,179
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 1º DE MAIO,1011807B .,598,137,13,152,0,0,1,0,0,303,1,12,316,282
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 24 DE JULHO,1012501 .,800,248,8,159,0,1,0,1,0,417,8,9,434,366
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 24 DE JULHO,1012502 .,800,205,15,156,0,1,0,0,0,377,5,12,394,406
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 24 DE JULHO,1012503 .,800,188,14,161,0,0,0,0,0,363,5,15,383,417
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 24 DE JULHO,1012504 .,800,184,14,176,0,1,0,0,0,375,4,7,386,414
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 24 DE JULHO,1012505 .,800,205,12,176,1,1,0,0,0,395,2,6,403,397
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 24 DE JULHO,1012506 .,800,178,23,161,2,0,0,1,0,365,3,6,374,426
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 24 DE JULHO,1012507 .,605,146,10,96,0,0,0,0,0,252,0,12,264,341
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 25 DE JUNHO,1010801 .,800,270,23,195,2,1,1,0,1,493,3,15,511,289
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 25 DE JUNHO,1010802 .,800,210,15,199,0,1,1,1,0,427,4,21,452,348
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 25 DE JUNHO,1010803 .,800,225,17,224,0,0,0,0,0,466,6,11,483,317
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 25 DE JUNHO,1010804 .,800,227,19,220,0,1,0,0,0,467,5,11,483,317
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 25 DE JUNHO,1010805A .,400,102,5,104,0,0,0,0,0,211,1,14,226,174
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 25 DE JUNHO,1010805B .,589,152,7,156,0,0,0,0,1,316,2,4,322,267
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 5 DE FEVEREIRO,1009501 .,800,243,15,272,0,1,2,0,0,533,6,13,552,248
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 5 DE FEVEREIRO,1009502 .,800,231,20,259,1,0,1,0,0,512,3,14,529,271
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 5 DE FEVEREIRO,1009503 .,800,278,16,233,3,2,4,0,2,538,2,18,558,242
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 5 DE FEVEREIRO,1009504 .,800,235,25,205,0,0,4,0,0,469,3,14,486,314
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 5 DE FEVEREIRO,1009505A .,400,105,9,121,0,0,1,0,0,236,4,5,245,155
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC 5 DE FEVEREIRO,1009505B .,565,160,18,156,0,0,3,0,1,338,2,5,345,220
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ACORDOS DE LUSAKA,1009801 .,800,269,21,221,2,0,1,0,1,515,5,17,537,263
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ACORDOS DE LUSAKA,1009802 .,800,245,11,210,0,0,1,0,2,469,2,8,479,321
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ACORDOS DE LUSAKA,1009803 .,800,219,25,233,0,0,1,0,0,478,1,14,493,307
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ACORDOS DE LUSAKA,1009804A .,400,103,14,112,0,0,0,0,0,229,2,5,236,164
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ACORDOS DE LUSAKA,1009804B .,494,120,18,118,1,0,0,0,0,257,1,7,265,229
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC BENFICA NOVA,1010901 .,800,264,21,195,0,0,0,1,0,481,3,19,503,297
