"sep=,"
Província,Distrito,Posto Administrativo,Localidade,Local,Código da Assembleia de Voto,Número de Eleitores Inscritos,FRELIMO,MDM,RENAMO,CAD,PJDM,E-POVO,PVM,PDM,Votos Válidos,Votos Nulos,Votos em Branco,Total de Votantes,Abstenções
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010206 .,800,237,22,209,1,0,1,1,0,471,4,8,483,317
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010207A .,400,138,8,95,1,0,1,0,0,243,2,3,248,152
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC DA UNIDADE T-3,1010207B .,530,151,13,128,0,0,0,1,0,293,2,5,300,230
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC EDUARDO MONDLANE,1009901 .,800,304,18,203,1,0,0,1,1,528,5,28,561,239
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC EDUARDO MONDLANE,1009902 .,800,234,17,218,1,0,0,1,2,473,4,22,499,301
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC EDUARDO MONDLANE,1009903 .,800,226,20,248,1,0,0,0,3,498,6,14,518,282
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC EDUARDO MONDLANE,1009904 .,800,256,19,209,2,0,0,0,0,486,6,11,503,297
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC EDUARDO MONDLANE,1009905 .,800,227,25,220,1,0,2,1,0,476,5,7,488,312
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC EDUARDO MONDLANE,1009906 .,633,173,18,132,0,0,0,0,0,323,2,12,337,296
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011401 .,800,278,17,194,0,0,0,0,1,490,5,29,524,276
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011402 .,800,262,20,185,0,1,0,0,1,469,5,22,496,304
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011403 .,800,253,15,199,2,0,0,0,0,469,6,9,484,316
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011404 .,800,256,13,171,2,1,1,0,1,445,7,11,463,337
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011405 .,800,270,10,179,3,0,0,0,1,463,1,19,483,317
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011406 .,800,231,15,202,2,0,0,0,0,450,7,13,470,330
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011407 .,800,258,17,187,0,0,0,0,0,462,3,5,470,330
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011408 .,800,221,13,202,0,0,0,0,1,437,4,15,456,344
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011409 .,800,253,21,180,0,2,0,0,0,456,8,10,474,326
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1011410 .,528,131,15,106,0,0,0,1,0,253,4,5,262,266
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1028101 .,800,227,21,177,0,1,1,0,0,427,2,11,440,360
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE,1028102 .,577,129,14,100,0,0,0,0,0,243,1,17,261,316
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE A,1011701 .,800,253,18,235,1,0,1,0,0,508,9,11,528,272
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE A,1011702 .,800,234,21,231,0,0,1,0,0,487,7,16,510,290
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE A,1011703 .,800,210,21,224,0,0,0,0,0,455,3,28,486,314
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE A,1011704 .,800,254,29,215,3,0,1,0,0,502,3,10,515,285
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE A,1011705A .,400,120,10,92,0,1,0,0,0,223,1,3,227,173
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC KHONGOLOTE A,1011705B .,494,174,12,101,1,0,1,0,0,289,3,7,299,195
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MALI,1012901 .,800,183,15,187,0,1,0,0,0,386,5,5,396,404
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MALI,1012902 .,800,309,20,165,0,0,0,0,0,494,10,7,511,289
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MALI,1012903 .,800,220,19,168,0,0,0,0,0,407,11,12,430,370
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MALI,1012904 .,800,131,9,206,1,0,0,0,0,347,5,4,356,444
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MALI,1012905 .,800,144,7,125,0,0,1,0,0,277,4,17,298,502
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MALI,1012906 .,341,51,11,71,0,0,1,1,0,135,0,3,138,203
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUHALAZE,1012601 .,800,228,14,197,3,0,1,0,0,443,4,19,466,334
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUHALAZE,1012602 .,800,208,7,172,1,0,1,2,1,392,4,6,402,398
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUHALAZE,1012603 .,800,182,8,188,0,0,0,0,0,378,1,6,385,415
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUHALAZE,1012604 .,800,182,12,179,0,0,0,0,1,374,2,17,393,407
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUHALAZE,1012605 .,800,172,11,215,1,0,0,1,0,400,2,12,414,386
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUHALAZE,1012606 .,800,156,18,190,2,0,0,0,0,366,2,6,374,426
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUHALAZE,1012607 .,323,65,5,71,0,0,0,1,1,143,2,1,146,177
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUKHATINE,1013401 .,800,231,18,171,1,1,0,0,0,422,4,7,433,367
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUKHATINE,1013402 .,800,161,19,166,3,1,0,0,0,350,2,7,359,441
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUKHATINE,1013403 .,800,149,19,178,1,0,0,1,0,348,3,7,358,442
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC MUKHATINE,1013404 .,492,79,6,104,0,0,0,0,0,189,2,5,196,296
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011001 .,800,255,21,188,2,0,1,1,0,468,8,10,486,314
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011002 .,800,232,19,233,1,1,0,0,0,486,5,17,508,292
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011003 .,800,225,20,220,0,0,0,0,2,467,5,11,483,317
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011004 .,800,240,15,201,1,0,0,1,0,458,4,9,471,329
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011005 .,800,199,13,223,0,0,0,0,1,436,3,8,447,353
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011006 .,800,181,16,223,1,0,0,1,0,422,7,16,445,355
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011007 .,800,215,15,230,0,0,0,1,0,461,2,3,466,334
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011008 .,800,198,11,235,1,1,1,1,1,449,3,8,460,340
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011009A .,400,89,9,97,1,0,1,0,0,197,1,2,200,200
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1011009B .,475,127,12,99,0,0,0,0,0,238,4,6,248,227
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1028001A .,400,111,5,104,1,0,0,0,0,221,1,6,228,172
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1028001B .,469,113,6,116,0,1,0,0,0,236,0,8,244,225
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NDLHAVELA,1028002 .,655,155,9,165,1,1,0,0,0,331,5,4,340,315
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NGOLHOZA,1013501 .,800,194,29,194,0,0,0,0,1,418,7,10,435,365
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NGOLHOZA,1013502A .,400,59,13,103,0,0,0,0,0,175,5,2,182,218
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC NGOLHOZA,1013502B .,411,79,11,91,0,0,0,0,0,181,0,8,189,222
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1011201 .,800,204,21,224,2,0,2,0,2,455,4,11,470,330
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1011202 .,800,185,11,202,2,0,2,0,0,402,2,16,420,380
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1011203 .,800,203,15,198,0,0,0,0,0,416,2,10,428,372
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1011204 .,800,159,17,190,1,0,4,0,1,372,5,13,390,410
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1011205 .,800,203,19,201,0,1,1,0,0,425,6,16,447,353
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1011206 .,800,193,13,174,0,0,1,1,0,382,5,6,393,407
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1011207 .,498,101,14,107,1,0,0,0,0,223,2,5,230,268
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC SAMORA MACHEL,1028201 .,798,177,12,180,0,0,0,0,2,371,1,10,382,416
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010501 .,800,297,12,181,0,0,2,0,1,493,5,13,511,289
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010502 .,800,252,23,202,0,1,0,2,1,481,6,19,506,294
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010503 .,800,241,18,208,0,0,0,0,0,467,1,14,482,318
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010504 .,800,210,6,201,1,1,0,1,0,420,5,14,439,361
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010505 .,800,210,15,190,0,0,0,0,0,415,2,25,442,358
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010506 .,800,231,27,224,0,0,1,0,1,484,0,9,493,307
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010507A .,400,93,6,92,0,0,0,0,1,192,0,11,203,197
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1010507B .,412,112,12,94,0,0,0,0,0,218,2,11,231,181
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE,1027901 .,749,178,17,180,0,1,0,0,0,376,7,7,390,359
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE C,1010701 .,800,218,17,264,2,0,0,1,1,503,4,10,517,283
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE C,1010702 .,800,194,21,215,0,1,1,0,0,432,6,19,457,343
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,EPC ZONA VERDE C,1010703 .,640,121,10,178,0,0,0,0,0,309,4,14,327,313
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA 15 DE JANEIRO,1011101 .,800,209,16,252,4,0,0,0,0,481,3,20,504,296
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA 15 DE JANEIRO,1011102 .,800,205,17,253,0,1,1,0,0,477,7,14,498,302
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA 15 DE JANEIRO,1011103 .,800,205,15,207,6,0,0,0,1,434,4,10,448,352
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA 15 DE JANEIRO,1011104 .,800,225,16,199,0,0,0,0,1,441,3,14,458,342
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA 15 DE JANEIRO,1011105 .,800,201,13,210,0,0,0,0,2,426,3,13,442,358
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA 15 DE JANEIRO,1011106 .,800,196,12,184,2,0,0,0,1,395,2,7,404,396
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA 15 DE JANEIRO,1011107 .,432,97,8,107,1,0,0,0,0,213,3,8,224,208
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE BOQUISSO,1013301 .,800,187,10,190,1,0,0,0,1,389,8,8,405,395
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE BOQUISSO,1013302 .,800,147,11,150,1,0,0,0,1,310,3,18,331,469
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE BOQUISSO,1013303 .,496,79,6,88,0,0,0,0,0,173,2,2,177,319
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE KHONGOLOTE,1011501 .,800,240,19,215,0,1,0,1,0,476,2,10,488,312
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE KHONGOLOTE,1011502 .,800,247,12,196,0,0,0,0,0,455,3,13,471,329
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE KHONGOLOTE,1011503 .,800,179,15,220,0,0,0,0,0,414,3,8,425,375
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE KHONGOLOTE,1011504A .,400,106,10,98,0,0,0,0,1,215,2,1,218,182
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE KHONGOLOTE,1011504B .,550,127,12,143,0,0,0,0,0,282,0,5,287,263
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE MUHALAZE,1012701 .,800,218,7,173,1,0,2,0,3,404,5,17,426,374
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE MUHALAZE,1012702 .,800,183,11,196,1,1,0,1,1,394,3,4,401,399
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE MUHALAZE,1012703 .,800,183,8,192,0,0,1,1,0,385,4,6,395,405
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE MUHALAZE,1012704 .,800,180,12,170,0,0,0,1,0,363,3,12,378,422
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE MUHALAZE,1012705 .,800,162,13,188,1,0,0,0,0,364,3,17,384,416
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DE MUHALAZE,1012706 .,607,113,6,130,0,1,0,0,0,250,2,2,254,353
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DO INFULENE,1009701 .,800,267,16,230,0,0,2,0,0,515,5,18,538,262
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DO INFULENE,1009702 .,800,241,14,213,1,1,0,0,1,471,3,19,493,307
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DO INFULENE,1009703 .,800,239,23,220,1,0,0,1,0,484,4,11,499,301
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA DO INFULENE,1009704 .,238,56,7,59,0,1,0,0,0,123,2,7,132,106
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA ZONA VERDE,1010401 .,800,243,9,244,0,0,1,0,2,499,2,14,515,285
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA ZONA VERDE,1010402 .,800,244,11,224,1,0,1,0,0,481,0,12,493,307
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA ZONA VERDE,1010403 .,800,251,19,191,0,0,0,0,0,461,3,10,474,326
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA ZONA VERDE,1010404 .,800,244,17,199,0,0,1,0,0,461,8,13,482,318
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,ESCOLA SECUNDÁRIA ZONA VERDE,1010405 .,685,150,15,152,0,1,0,0,0,318,3,2,323,362
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,MAPANDANE - SALAS ANEXAS EPC 1º DE MAIO,1011901 .,800,228,20,217,0,0,5,0,0,470,9,22,501,299
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,MAPANDANE - SALAS ANEXAS EPC 1º DE MAIO,1011902 .,800,245,26,196,0,0,1,0,2,470,1,24,495,305
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,MAPANDANE - SALAS ANEXAS EPC 1º DE MAIO,1011903 .,800,222,22,197,0,0,6,0,1,448,4,22,474,326
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,MAPANDANE - SALAS ANEXAS EPC 1º DE MAIO,1011904 .,800,240,14,222,0,0,8,0,0,484,4,16,504,296
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,MAPANDANE - SALAS ANEXAS EPC 1º DE MAIO,1011905 .,800,222,19,207,0,0,2,0,1,451,5,28,484,316
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,MAPANDANE - SALAS ANEXAS EPC 1º DE MAIO,1011906 .,287,75,10,72,0,1,3,0,0,161,1,1,163,124
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,VALE DO INFULENE,1009301 .,800,343,15,206,1,0,0,0,0,565,2,19,586,214
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,VALE DO INFULENE,1009302 .,800,293,18,232,2,0,0,0,0,545,6,8,559,241
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,VALE DO INFULENE,1009303 .,800,295,23,207,1,1,2,0,0,529,7,17,553,247
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,VALE DO INFULENE,1009304 .,800,295,30,188,0,1,0,0,0,514,4,14,532,268
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,VALE DO INFULENE,1009305A .,400,128,15,117,0,0,0,0,0,260,1,7,268,132
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,INFULENE,INFULENE,VALE DO INFULENE,1009305B .,545,196,15,124,0,1,1,0,0,337,3,3,343,202
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 14'",1006701 .,800,221,19,285,2,1,1,0,1,530,4,9,543,257
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 14'",1006702 .,800,179,22,267,0,0,0,0,0,468,6,14,488,312
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 14'",1006703 .,800,176,19,261,0,0,0,0,0,456,3,14,473,327
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 14'",1006704 .,800,167,15,273,0,0,0,0,0,455,2,12,469,331
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 14'",1006705 .,311,49,4,84,1,0,0,0,1,139,0,2,141,170
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 64'",1006801 .,800,227,17,274,1,1,1,0,0,521,6,22,549,251
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 64'",1006802 .,800,206,22,285,0,2,0,1,0,516,3,5,524,276
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 64'",1006803 .,799,208,36,264,1,0,0,0,0,509,5,10,524,275
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 71'",1006901 .,800,201,23,295,0,0,0,0,0,519,9,23,551,249
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 71'",1006902 .,800,199,21,270,3,0,0,0,0,493,1,7,501,299
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 71'",1006903A .,400,96,19,116,0,0,0,0,1,232,5,1,238,162
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'BUNHIÇA, Q. 71'",1006903B .,467,103,10,155,0,0,1,0,0,269,3,4,276,191
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'E. C. MENSAGEIROS DE DEUS, Q. 12'",1004801 .,800,338,14,187,1,1,1,1,2,545,10,16,571,229
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'E. C. MENSAGEIROS DE DEUS, Q. 12'",1004802 .,800,299,17,221,0,0,0,0,0,537,2,8,547,253
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'E. C. MENSAGEIROS DE DEUS, Q. 12'",1004803 .,800,259,29,208,0,0,1,1,0,498,2,14,514,286
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'E. C. MENSAGEIROS DE DEUS, Q. 12'",1004804 .,418,117,18,115,0,0,0,1,0,251,3,6,260,158
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'MATOLA-GARE, Q. 28 - TCHUMENE I'",1008201 .,800,182,17,216,2,0,1,0,0,418,11,13,442,358
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'MATOLA-GARE, Q. 28 - TCHUMENE I'",1008202 .,800,222,24,205,1,0,1,0,0,453,9,9,471,329
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'MATOLA-GARE, Q. 28 - TCHUMENE I'",1008203 .,643,190,18,160,0,1,0,3,1,373,5,7,385,258
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'NWAMATIBJANA, Q. 7'",1008901 .,800,131,11,226,0,0,1,0,2,371,6,20,397,403
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'NWAMATIBJANA, Q. 7'",1008902 .,333,54,3,102,0,0,0,0,0,159,1,4,164,169
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'SIDUAVA, Q. 13'",1008701 .,800,230,18,220,0,1,0,0,0,469,4,33,506,294
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'SIDUAVA, Q. 13'",1008702 .,541,93,5,119,1,0,1,0,0,219,2,8,229,312
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'SIDUAVA, Q. 17 - CAMPO'",1008601A .,400,106,5,119,0,0,0,0,0,230,4,7,241,159
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'SIDUAVA, Q. 17 - CAMPO'",1008601B .,407,107,6,99,0,0,0,0,0,212,3,7,222,185
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'XIKADJWANINE, Q. 98'",1005401 .,800,207,18,222,1,0,0,0,0,448,3,25,476,324
MAPUTO PROVÍNCIA,CIDADE DA MATOLA,MACHAVA,MACHAVA,"'XIKADJWANINE, Q. 98'",1005402 .,800,224,14,209,0,1,0,0,0,448,2,11,461,339
